backend,artifact_bytes,compute_median_ms,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,end_to_end_median_ms,throughput_fps,process_peak_rss_mb,system_peak_ram_mb,idle_power_w,active_power_w,active_power_p95_w,energy_mj_per_inference,dynamic_energy_mj_per_inference,peak_temp_c,cosine_median,cosine_min,mean_abs_error,max_abs_error
pytorch_fp32,178887540,167.8835906982422,168.54457570368578,168.5532200003763,169.1160045997094,169.3289418400127,250.436453000475,5.9249381420413005,2702.84765625,3574.0,,,,,,39.0,1.0,1.0,0.0,0.0
tensorrt_fp32,304216164,126.08020782470703,126.36050386973233,126.33133200006341,126.86228125016896,127.21811155973228,208.2145650001621,7.900235107435971,1276.27734375,,,,,,,,1.0,0.9999999403953552,4.911535711471515e-08,3.241002559661865e-07
tensorrt_fp16,152605618,76.0698471069336,76.35403252819614,76.33943800010456,76.70247684950482,76.93036873970414,158.22267100020326,13.058893229238484,1137.33203125,2573.0,,,,,,38.5,0.9999401569366455,0.9998814463615417,0.0003795683151111007,0.003442719578742981
